"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-pmittal115/ (32%);/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (4%)","32"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-aterriqu/ (63%);/Users/lord/Documents/2016green32/2016greenironhack2-tanmayee123/ (10%)","41"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (2%);/Users/lord/Documents/2016green32/2016greenironhack3-aterriqu/ (19%)","40"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (3%);/Users/lord/Documents/2016green32/2016greenironhack3-aterriqu/ (19%)","43"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-MegamindHenry/ (5%);/Users/lord/Documents/2016green32/2016greenironhack3-prachitamane/ (17%)","49"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-aterriqu/ (19%);/Users/lord/Documents/2016green32/2016greenironhack3-wluan/ (20%)","38"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (2%);/Users/lord/Documents/2016green32/2016greenironhack2-taycurt17/ (19%)","41"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-tanmayee123/ (10%);/Users/lord/Documents/2016green32/2016greenironhack2-taycurt17/ (19%)","36"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-dengc/ (2%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (12%)","35"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-dengc/ (3%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (12%)","33"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (2%);/Users/lord/Documents/2016green32/2016greenironhack2-aterriqu/ (54%)","34"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (2%);/Users/lord/Documents/2016green32/2016greenironhack2-aterriqu/ (54%)","34"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-MegamindHenry/ (4%);/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (2%)","29"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-ankitbatheja/ (0%)","12"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-ankitbatheja/ (0%);/Users/lord/Documents/2016green32/2016greenironhack2-patrickherrod/ (0%)","12"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (1%)","28"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (2%);/Users/lord/Documents/2016green32/2016greenironhack2-taycurt17/ (16%)","32"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (11%)","31"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (2%);/Users/lord/Documents/2016green32/2016greenironhack3-tanmayee123/ (9%)","33"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (2%);/Users/lord/Documents/2016green32/2016greenironhack2-patrickherrod/ (0%)","33"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-taycurt17/ (16%);/Users/lord/Documents/2016green32/2016greenironhack3-aterriqu/ (16%)","32"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-aterriqu/ (52%);/Users/lord/Documents/2016green32/2016greenironhack2-taycurt17/ (16%)","32"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-pmittal115/ (25%);/Users/lord/Documents/2016green32/2016greenironhack3-dengc/ (2%)","35"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (2%);/Users/lord/Documents/2016green32/2016greenironhack3-huayifang/ (7%)","38"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-pmittal115/ (24%);/Users/lord/Documents/2016green32/2016greenironhack2-dengc/ (3%)","33"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-tanmayee123/ (8%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (10%)","31"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-tanmayee123/ (9%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (10%)","33"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-taycurt17/ (15%);/Users/lord/Documents/2016green32/2016greenironhack3-tanmayee123/ (9%)","30"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-meetalivaidya/ (15%);/Users/lord/Documents/2016green32/2016greenironhack3-tanmayee123/ (8%)","42"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-meetalivaidya/ (15%);/Users/lord/Documents/2016green32/2016greenironhack2-tanmayee123/ (7%)","42"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (1%);/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (0%)","25"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (2%);/Users/lord/Documents/2016green32/2016greenironhack3-tanmayee123/ (8%)","27"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-MegamindHenry/ (3%);/Users/lord/Documents/2016green32/2016greenironhack3-prachitamane/ (12%)","28"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (2%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (9%)","27"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-aterriqu/ (13%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (9%)","26"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-aterriqu/ (41%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (9%)","26"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (8%)","36"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-aterriqu/ (12%);/Users/lord/Documents/2016green32/2016greenironhack3-tanmayee123/ (7%)","28"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-aterriqu/ (40%);/Users/lord/Documents/2016green32/2016greenironhack3-tanmayee123/ (7%)","28"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (1%)","35"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-ankitbatheja/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-huayifang/ (5%)","19"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-ankitbatheja/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-huayifang/ (5%)","19"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-huayifang/ (15%);/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (1%)","25"
