"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-huayifang/ (10%)","12"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-shiboo18/ (9%)","15"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-ankitbatheja/ (0%);/Users/lord/Documents/2016green21/2016greenironhack-shiboo18/ (9%)","15"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-meetalivaidya/ (7%)","16"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-pjt90/ (6%)","18"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-lostkuma/ (13%);/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (1%)","18"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-pmittal115/ (9%);/Users/lord/Documents/2016green21/2016greenironhack-pmittal115/ (55%)","15"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-meetalivaidya/ (6%)","11"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-huayifang/ (13%);/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (0%)","8"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-abelal16/ (23%);/Users/lord/Documents/2016green21/2016greenironhack2-meetalivaidya/ (6%)","12"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-meetalivaidya/ (10%);/Users/lord/Documents/2016green21/2016greenironhack2-abelal16/ (23%)","12"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-prachitamane/ (5%);/Users/lord/Documents/2016green21/2016greenironhack2-tanmayee123/ (3%)","13"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-huayifang/ (13%);/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (1%)","12"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-shiboo18/ (7%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (5%)","13"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-shiboo18/ (7%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (5%)","13"
