"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-shiboo18/ (7%)","13"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (8%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (2%)","15"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (2%)","9"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (2%)","7"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (0%)","10"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-shiboo18/ (6%)","18"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-taycurt17/ (5%)","16"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-meetalivaidya/ (5%)","9"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-meetalivaidya/ (5%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-shiboo18/ (6%)","7"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-abelal16/ (19%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (2%)","9"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-prachitamane/ (4%)","8"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (2%)","6"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-abelal16/ (15%)","8"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (5%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-shiboo18/ (4%)","11"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-abelal16/ (14%)","6"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-meetalivaidya/ (3%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-prachitamane/ (3%)","12"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sabrina-hsu/ (8%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-wluan/ (5%)","11"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sabrina-hsu/ (7%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-shiboo18/ (3%)","7"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sabrina-hsu/ (7%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (0%)","7"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-meetalivaidya/ (3%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-taycurt17/ (3%)","7"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-abelal16/ (11%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-taycurt17/ (3%)","5"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pjt90/ (3%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (1%)","3"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (1%)","6"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-huayifang/ (4%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (1%)","3"
