"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-shiboo18/ (9%)","15"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-aterriqu/ (7%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-dengc/ (1%)","18"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-prachitamane/ (6%)","19"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-prachitamane/ (5%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (0%)","18"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-abelal16/ (1%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-aterriqu/ (6%)","13"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-huayifang/ (2%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (4%)","14"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-prachitamane/ (5%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-tanmayee123/ (3%)","14"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-dengc/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pjt90/ (6%)","16"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-abelal16/ (1%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-meetalivaidya/ (4%)","12"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-prachitamane/ (5%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-meetalivaidya/ (4%)","17"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-lostkuma/ (0%)","11"
